Ingredients,Description,Categories,Fragrances,Rating
aluminum sulfate,It can sensitizing to skin. ,"Absorbent, Antioxidants ",N/A,Poor
amino acid,"Fundamental constituents of all proteins found in the body, such as: alanine, arginine, asparagine,... ","Antioxidants, Skin-Replenishing ",N/A,Best
aminobutyric acid,Amino acid that has water-binding properties and may provide soothing benefits for skin. It... ,Skin-Soothing ,N/A,Average
aminomethyl propanediol,Used to adjust pH in cosmetics. ,Uncategorized ,N/A,Good
aminomethyl propanol,Synthetic ingredient used in cosmetics as a pH adjuster. ,Uncategorized ,N/A,Good
ammonium acryloyldimethyltaurate/VP copolymer,A synthetic polymer and film-forming agent that also serves to thicken cosmetic formulas... ,Texture Enhancer ,N/A,Good
ammonium chloride,Alkaline salt used as a pH balancer in skincare products; it is not used in concentrations that... ,Absorbent ,N/A,Poor
ammonium glycolate,Synthetic form of glycolic acid used as a pH adjuster and exfoliant. It is sometimes paired with... ,Exfoliant ,N/A,Best
ammonium hydroxide,"Clear, colorless liquid used in cosmetics to adjust a product's pH level. Ammonium hydroxide is... ",Uncategorized ,N/A,Average
ammonium laureth sulfate,Can be derived from coconut; used primarily as a detergent cleansing agent and is considered gentle... ,Cleansing Agents ,N/A,Good
ammonium lauryl sulfate,Can be derived from coconut; used primarily as a detergent cleansing agent and is considered gentle... ,Cleansing Agents ,N/A,Good
amodimethicone,None,"Silicones, Emollients, Texture Enhancer ",N/A,Good
amygdalic acid,None,"Exfoliant, Antioxidants ",N/A,Good
amyl cinnamate,Fragrant component. ,,Synthetic and Fragrant Plant Extracts ,Poor
amyl salicylate,Fragrant component. ,,Synthetic and Fragrant Plant Extracts ,Poor
amyris oil,Fragrant oil. It has no other known benefit for skin. ,Plant Extracts,Synthetic and Fragrant Plant Extracts ,Poor
Anacyclus pyrethrum,None,Plant Extracts ,N/A,Poor
Anacystis nidulans extract,None,"Antioxidants, Plant Extracts, Texture Enhancer, Emollients ",N/A,Good
Ananas sativus fruit extract,None,"Plant Extracts, Exfoliant ",N/A,Good
andiroba oil,Extracted from the Brazilian mahogany tree; it has soothing properties (Source:... ,"Skin-Soothing, Plant Extracts ",N/A,Good
Anethum graveolens,None,Plant Extracts,Synthetic and Fragrant Plant Extracts ,Average
Angelica archangelica root oil,Volatile oil obtained from the angelica plant. The oil contains chemical constituents that can be... ,"Antioxidants, Plant Extracts",Synthetic and Fragrant Plant Extracts ,Poor
Angelica polymorpha sinensis root extract,None,"Antioxidants, Plant Extracts ",N/A,Poor
anhydroxylitol,"A natural, plant-derived ingredient that acts as a humectant to help skin absorb and retain moisture. ",Hydration ,N/A,GOOD
anisaldehyde,Synthetic fragrance used in cosmetics. ,,Synthetic and Fragrant Plant Extracts ,Poor
anise,"Also known as aniseed, it can have antioxidant properties... ",Antioxidants,Synthetic and Fragrant Plant Extracts ,Poor
annato extract,"Natural plant colorant derived from the flesh surrounding the seed of Bixa orellana, a shrub native... ",Plant Extracts ,N/A,Good
Anthemis nobilis flower extract,None,"Skin-Soothing, Antioxidants ",N/A,Best
anthocyanin,"Group of naturally occurring substances found in plants that give fruits, vegetables, and plants... ","Antioxidants, Plant Extracts ",N/A,Best
antioxidant,General term for a large group of natural and synthetic ingredients that work to reduce... ,Antioxidants ,N/A,Best
apple fruit extract,"General name for various types of apples, all of which have potent antioxidant ability that, at least in theory, can benefit skin when applied topically. ","Antioxidants, Plant Extracts ",N/A,Best
apricot kernel,"Often used as an abrasive agent in so-called ""natural"" scrubs. Apricot kernals have irregular and... ",Scrub Agents ,N/A,Average
apricot kernel oil,"Emollient plant oil pressed from the seeds of apricots, and similar to other nonfragrant plant oils. ","Plant Extracts, Emollients ",N/A,Best
arachidic acid,Derived from peanut oil and used as an emollient and thickening agent in cosmetics. ,"Texture Enhancer, Emollients ",N/A,Good
arachidyl alcohol,Waxy substance used as a thickening agent and emollient in cosmetics. ,"Texture Enhancer, Emollients ",N/A,Good
arachidyl glucoside,"A mild surfactant (cleansing) and emulsifying agent, made from... ",Cleansing Agents ,N/A,Good
arachidyl propionate,Waxy substance used as a thickening agent and emollient in cosmetics. ,"Texture Enhancer, Emollients ",N/A,Good
Arachis hypogaea extract,Extract of the plant commonly known as the peanut. It can have emollient and skin soothing... ,"Skin-Soothing, Emollients, Plant Extracts ",N/A,Best
arbutin,"Isolated from the leaves of the bearberry shrub, cranberry, blueberry, some... ",Plant Extracts ,N/A,Best
Arctium lappa,None,"Skin-Soothing, Plant Extracts, Antioxidants ",N/A,Best
Arctium majus,None,"Plant Extracts, Antioxidants, Skin-Soothing ",N/A,Best
Arctostaphylos uva ursi leaf,None,"Antioxidants, Plant Extracts ",N/A,Best
Argania spinosa,None,"Antioxidants, Plant Extracts ",N/A,Best
argan oil,Non-fragrant plant oil expressed from the kernels of argan trees. Argan oil contains several beneficial lipids and fatty acids for skin... ,"Antioxidants, Emollients, Plant Extracts ",N/A,Best
arginine,Amino acid that has antioxidant properties and can be helpful for soothing skin (Sources: Journal... ,Antioxidants ,N/A,Good
Argireline,None,Skin-Restoring ,N/A,Good
arnica extract,Extract from the plant Arnica montana. There is research showing that when arnica is taken orally... ,Plant Extracts ,N/A,Poor
aroma/flavor,"Seeing ""aroma/flavor"" on an ingredient list can be either good or bad. For example, if the aroma or flavor comes from mint.... ",,Synthetic and Fragrant Plant Extracts ,Average
arrowroot,Thickening agent; it has no known benefit for skin. ,Texture Enhancer ,N/A,Average
artemia extract,None,"Antioxidants, Plant Extracts, Emollients, Texture Enhancer ",N/A,Good
Artemisia absinthium extract,None,Plant Extracts ,N/A,Average
Artemisia vulgaris,None,Plant Extracts ,N/A,Average
Ascophyllum nodosum,Species of seaweed. ,"Antioxidants, Emollients, Plant Extracts, Texture Enhancer ",N/A,Good
ascorbic acid,Form of vitamin C that has antioxidant properties (Sources: Advances in Experimental Medicine and... ,"Antioxidants, Vitamins ",N/A,Best
ascorbyl glucosamine,Form of vitamin C that has little research showing it has the antioxidant or brightening... ,"Antioxidants, Vitamins ",N/A,Best
ascorbyl glucoside,Ascorbyl glucoside is a stable form of vitamin C combined with glucose.When properly formulated and absorbed into... ,"Antioxidants, Vitamins ",N/A,Best
ascorbyl methylsilanol pectinate,Form of vitamin C that is considered stable and that functions as an antioxidant and thickening... ,"Antioxidants, Texture Enhancer, Vitamins ",N/A,Best
ascorbyl palmitate,Stable and nonacidic form of vitamin C that is effective as an antioxidant (Source: Biochemical and... ,"Antioxidants, Vitamins ",N/A,Best
asparagine,None,Antioxidants ,N/A,Good
