Ingredients,Description,Categories,Fragrances,Rating
Laminaria longicruris,None,"Antioxidants, Texture Enhancer, Plant Extracts, Thickeners/Emulsifiers, Emollients ",N/A,Good
Laminaria ochroleuca extract,"The Latin name for a species of kelp, also known as brown seaweed. Applied topically, it helps... ","Skin-Soothing, Plant Extracts ",N/A,Good
Laminaria sacharrina,None,"Antioxidants, Emollients, Plant Extracts, Thickeners/Emulsifiers ",N/A,Good
Lamium album flower extract,A species of the nettle plant that is used topically as as a soothing ingredient... ,"Skin-Soothing, Antioxidants, Plant Extracts ",N/A,Best
lanolin,"Emollient, very thick substance derived from sheep. Lanolin has long been... ","Emollients, Skin-Replenishing ",N/A,Good
lanolin alcohol,Emollient derived from lanolin. ,"Emollients, Skin-Replenishing ",N/A,Good
lappa extract,None,"Skin-Soothing, Plant Extracts, Antioxidants ",N/A,Good
Larrea divaricata extract,None,"Antioxidants, Plant Extracts ",N/A,Good
Larrea tridentata,None,"Antioxidants, Plant Extracts ",N/A,Good
L-ascorbic acid,Form of vitamin C that is a potent antioxidant and skin-soothing agent... ,"Skin-Soothing, Vitamins, Antioxidants ",N/A,Best
lauramphocarboxyglycinate,Mild detergent cleansing agent. ,Cleansing Agents ,N/A,Good
laurdimonium hydroxypropyl hydrolyzed soy protein,None,Miscellaneous ,N/A,Good
laurdimonium hydroxypropyl hydrolyzed wheat protein,None,Miscellaneous ,N/A,Good
laureth-23,"Derived from lauryl alcohol and used either as a surfactant or emulsifier (or, in many cases, as... ","Thickeners/Emulsifiers, Cleansing Agents, Texture Enhancer ",N/A,Good
laureth-4,"Derived from lauryl alcohol and used either as a surfactant or emulsifier (or, in many cases, as... ","Thickeners/Emulsifiers, Texture Enhancer, Cleansing Agents ",N/A,Good
laureth-7,A form of lauryl alcohol (a non-irritating fatty alcohol derived from coconut oil) that can... ,"Thickeners/Emulsifiers, Cleansing Agents ",N/A,Good
laureths,Substances that in various combinations create a wide range of mild detergent cleansing agents... ,Cleansing Agents ,N/A,Good
lauric acid,One of several fatty acids found in coconut oil and other natural fats. ,"Skin-Replenishing, Cleansing Agents ",N/A,Best
lauroyl lysine,Amino acid derivative that functions as a skin- and hair-conditioning agent. It also contributes to... ,Miscellaneous ,N/A,Good
Laurus nobilis,None,Antioxidants,"Synthetic and Fragrant Plant Extracts, Plant Extracts ",Poor
lauryl alcohol,None,Cleansing Agents ,N/A,Good
lauryl glucoside,None,Cleansing Agents ,N/A,Good
lauryl lactate,Mixture of lauryl alcohol and lactic acid that functions as a skin-conditioning agent and... ,,"Synthetic and Fragrant Plant Extracts, Emollients ",Good
lauryl laurate,An ester of lauryl alcohol and lauric acid... ,"Emollients, Texture Enhancer ",N/A,Best
lauryl PEG-9 polydimethylsiloxyethyl dimethicone,"A silicone polymer that has multiple functions in cosmetic products, including skin/hair... ","Emulsifiers, Miscellaneous, Texture Enhancer, Thickeners/Emulsifiers ",N/A,Good
lavandin oil,Essential oil of the hybrid lavender plant Lavandula hybrida and used in cosmetics as a fragrance... ,"Plant Extracts, Sensitizing",Synthetic and Fragrant Plant Extracts ,Poor
Lavandula angustifolia,None,"Plant Extracts, Sensitizing",Synthetic and Fragrant Plant Extracts ,Poor
Lavandula officinalis,None,Plant Extracts,"Synthetic and Fragrant Plant Extracts, Sensitizing ",Poor
lavender extract and oil,"In-vitro research indicates that components of lavender oil, specifically linalool and linalyl acetate, can have... ","Plant Extracts, Sensitizing",Synthetic and Fragrant Plant Extracts ,Poor
L-cysteine,None,Antioxidants ,N/A,Good
lecithin,Phospholipid found in egg yolks and may be plant or animal derived. It is widely used in... ,"Emollients, Skin-Replenishing ",N/A,Best
lemon,Potent skin sensitizer. Though it can have beneficial properties... ,Plant Extracts,"Synthetic and Fragrant Plant Extracts, Sensitizing ",Poor
lemon balm,None,"Plant Extracts, Sensitizing",Synthetic and Fragrant Plant Extracts ,Poor
lemongrass extract,Extract that can have beneficial properties... ,Plant Extracts,"Synthetic and Fragrant Plant Extracts, Sensitizing ",Poor
lemongrass oil,Also known as Oil of Verbena; can be effective as a mosquito repellent... ,Plant Extracts,"Synthetic and Fragrant Plant Extracts, Sensitizing ",Poor
lemon juice,"The juice from the citrus fruit lemon, often touted in the world of skin care as being a natural option for brightening skin. ","Antioxidants, Sensitizing ",N/A,Poor
lemon oil,"Commonly used citrus oil that can be a skin sensitizer, especially on abraded skin. ",Plant Extracts,"Synthetic and Fragrant Plant Extracts, Sensitizing ",Poor
lentil fruit extract,"Extract that functions as a skin-conditioning agent and likely has antioxidant benefit, too. ","Antioxidants, Plant Extracts, Skin-Softening ",N/A,Good
Lentinus edodes extract,Extract from the shiitake mushroom that may have antioxidant properties... ,"Plant Extracts, Sensitizing, Antioxidants ",N/A,Average
Leontopodium alpinum extract,Plant extract whose constituents are capable of provding antioxidant and soothing benefit... ,"Skin-Soothing, Antioxidants, Plant Extracts ",N/A,Best
Leptospermum scoparium oil,None,"Plant Extracts, Antioxidants ",N/A,Good
leucine,Amino acid. ,Skin-Replenishing ,N/A,Good
Levisticum officinale root extract,None,"Plant Extracts, Sensitizing",Synthetic and Fragrant Plant Extracts ,Poor
licorice extract,"Plant extract that has skin-soothing properties. In addition, licorice root may be effective in... ","Skin-Soothing, Plant Extracts, Antioxidants ",N/A,Best
licorice root,None,"Skin-Soothing, Plant Extracts ",N/A,Best
Lilium candidum bulb extract,Extract derived from the white lily bulb. There is no research showing this has any benefit for... ,Plant Extracts ,N/A,Average
lime oil and extract,Citrus fruit whose volatile compounds are sensitizing... ,"Plant Extracts, Sensitizing",Synthetic and Fragrant Plant Extracts ,Poor
Limnanthes alba,Plant commonly known as meadowfoam; its seed oil is a non-volatile plant oil used as a... ,"Plant Extracts, Skin-Softening ",N/A,Good
Limnanthes alba seed oil,None,Plant Extracts ,N/A,Good
limonene,"Chemical constituent of many natural fragrant ingredients, notably citrus oils such as lemon (d-limonene) and... ",,"Synthetic and Fragrant Plant Extracts, Sensitizing ",Poor
linalool,"Fragrant component of lavender and coriander that can be a skin sensitizer, or... ",,"Synthetic and Fragrant Plant Extracts, Sensitizing ",Poor
linden flower extract,Major constituents in linden are flavonoids and glycosides. Flavonoids are potent... ,"Antioxidants, Plant Extracts ",N/A,Best
linoleic acid,Unsaturated fatty acid used as an emollient and thickening agent in cosmetics. There is some... ,"Skin-Soothing, Antioxidants, Skin-Restoring, Emollients ",N/A,Best
linolenic acid,"Linolenic acid is a naturally-occurring, colorless polyunsaturated fatty acid liquid... ","Skin-Restoring, Plant Extracts ",N/A,Best
linseed oil,Non-volatile plant oil. Linoleic acid is a component of linseed oil.  ,Plant Extracts ,N/A,Best
Linum usitatissimum extract,None,Plant Extracts ,N/A,Best
lipid,"Wide range of ingredients found in plants, animals, and human skin. Lipids include fatty acids,... ","Thickeners/Emulsifiers, Emollients, Skin-Replenishing ",N/A,Best
liposomes,Delivery system (not an ingredient) capable of holding other ingredients and releasing them after... ,Miscellaneous ,N/A,Good
lithium magnesium sodium silicate,"Synthetic silica-based clay composed of lithium, sodium, and magnesium. Used as a thickening agent... ","Thickeners/Emulsifiers, Texture Enhancer, Absorbent ",N/A,Good
Lithospermum erythrorhizon,"Also known as gromwell, the root of this plant is believed to have antioxidant and... ","Skin-Soothing, Antioxidants, Plant Extracts ",N/A,Best
Litsea cubeba,None,Plant Extracts,"Synthetic and Fragrant Plant Extracts, Sensitizing ",Poor
locust bean,None,"Plant Extracts, Texture Enhancer, Thickeners/Emulsifiers, Film-Forming/Holding Agents ",N/A,Good
Lonicera caprifolium flower extract,None,"Skin-Soothing, Plant Extracts ",N/A,Best
Lonicera japonica ,Honeysuckle extract. A plant with soothing properties for skin. ,"Skin-Soothing, Plant Extracts ",N/A,Best
Lonicera japonica flower extract,None,"Skin-Soothing, Plant Extracts ",N/A,Best
loquat extract,Extract derived from a subtropical flower that has antioxidant properties similar to... ,"Antioxidants, Plant Extracts ",N/A,Best
lotus seed extract,Extract that can have soothing and antioxidant properties... ,"Skin-Soothing, Antioxidants, Plant Extracts ",N/A,Best
lovage root extract,"In cosmetics, it is used as a fragrance.... ","Plant Extracts, Sensitizing ",N/A,Poor
lupine,Legume that is a source of isoflavones with antioxidant properties... ,"Antioxidants, Plant Extracts, Emollients ",N/A,Good
lupine oil,"Extract of Lupinus albus, a legume; it has emollient and antioxidant properties, though it may also... ","Antioxidants, Emollients, Plant Extracts ",N/A,Average
Lupinus albus extract,Species of legume. ,"Antioxidants, Emollients, Plant Extracts ",N/A,Good
lutein,Carotenoid that has antioxidant properties… ,Antioxidants ,N/A,Best
Lycium barbarum fruit extract,"The extract of the fruit commonly known as goji, goji berry, or wolfberry. This fruit extract is an antioxidant... ","Antioxidants, Skin-Softening ",N/A,Good
lycopene,Carotenoid pigment that has potent antioxidant properties… ,Antioxidants ,N/A,Best
lye,None,"Cleansing Agents, Sensitizing ",N/A,Poor
lysine,Amino acid. ,"Antioxidants, Skin-Replenishing ",N/A,Good
macadamia nut oil,Used in cosmetics as an emollient for dry skin. ,"Plant Extracts, Emollients ",N/A,Good
madecassoside,One of four principal bioactive compounds in the plant extract Centella asiatica. ,"Antioxidants, Plant Extracts ",N/A,Best
magnesium,Earth mineral that has strong absorbent properties and some disinfecting properties… ,Absorbent ,N/A,Good
magnesium aluminum silicate,"Powdery, dry-feeling, white solid that is used as a thickening agent and powder in cosmetics. ",Thickeners/Emulsifiers ,N/A,Good
magnesium ascorbyl palmitate,Fatty acid-based derivative of vitamin C that can be an effective antioxidant. There is some... ,"Antioxidants, Vitamins ",N/A,Good
magnesium ascorbyl phosphate,Form of vitamin C that is considered stable and an effective antioxidant for skin (Sources:... ,"Antioxidants, Vitamins ",N/A,Best
magnesium carbonate,"Inorganic mineral salt used as an absorbent, opacifying agent, coloring agent, or to adjust the pH... ",Absorbent ,N/A,Good
magnesium hydroxide,Active ingredient in milk of magnesia. It is an absorbent and has disinfectant properties for skin. ,"Absorbent, Miscellaneous ",N/A,Good
magnesium laureth sulfate,Mild detergent cleansing agent. ,Cleansing Agents ,N/A,Good
magnesium oleth sulfate,Mild detergent cleansing agent. ,Cleansing Agents ,N/A,Good
magnesium stearate,Used as a thickening agent in cosmetics. ,"Thickeners/Emulsifiers, Texture Enhancer ",N/A,Good
magnesium sulfate,"Commonly known as Epsom salt, a magnesium salt used as a texture enhancer. ",Texture Enhancer ,N/A,Good
Mahonia aquifolium root extract,A plant extract known as Orgeon grape...,"Antioxidants, Plant Extracts ",N/A,Good
malic acid,An AHA ingredient derived from unripe fruit that also occurs naturally in the human body… ,Exfoliant ,N/A,Best
mallow,Can be used as a texture enhancer in cosmetics and may have soothing... ,"Skin-Soothing, Texture Enhancer, Plant Extracts ",N/A,Best
maltodextrin,"A plant-based sugar created by hydrolyzing a saccharide with starch from corn, potato, or rice. ","Thickeners, Film-Forming Agents, Absorbent ",N/A,Good
maltooligosyl glucoside,A carbohydrate polysaccharide that’s naturally-derived and then combined...,"Hydration, Film-Forming Agents, Emulsifiers, Film-Forming/Holding Agents, Texture Enhancer ",N/A,Good
malvaceae extract,"Extract from plants of the Malvaceae family, which includes over 1,000 species, found in tropical... ",Plant Extracts ,N/A,Average
Malva sylvestris extract,"Extract from the blue mallow flower, it may have some soothing properties for... ","Skin-Soothing, Antioxidants, Plant Extracts ",N/A,Good
mandarin orange oil or extract,Primarily used as a fragrance; it can be a skin sensitizer. There is no research showing it has any... ,"Plant Extracts, Sensitizing",Synthetic and Fragrant Plant Extracts ,Poor
mandelic acid,"A type of alpha hydroxy acid (AHA), also known as amygdalic acid. There’s some research showing mandelic acid is an effective exfoliant, although it’s not as effective as glycolic acid due to its larger size... ",Exfoliant ,N/A,Good
manganese gluconate,Mineral found in trace amounts in tissues of the body. While manganese plays a vital role in the... ,Antioxidants ,N/A,Average
manganese violet,"Coloring agent/additive permanently listed (as of 1976) by the FDA for use in cosmetic products,... ",Coloring Agents/Pigments ,N/A,Good
Mangifera indica (mango) seed butter,"More commonly known as mango butter, this ingredient is a very good plant-based... ","Plant Extracts, Skin-Replenishing, Emollients ",N/A,Best
Mangifera indica root,Extract derived from the mango tree; it can have antioxidant properties (Source: Journal of... ,"Antioxidants, Plant Extracts ",N/A,Good
manuka oil,Extract derived from the New Zealand tea tree; the oil is similar to that of the Australian tea... ,"Plant Extracts, Antioxidants ",N/A,Good
marigold,None,"Skin-Soothing, Antioxidants, Plant Extracts ",N/A,Good
marionberry,Fruit that has potent antioxidant properties. ,"Antioxidants, Plant Extracts ",N/A,Good
marjoram,Herb with a fragrant component used in cosmetics; can be a skin sensitizer… ,Plant Extracts,"Synthetic and Fragrant Plant Extracts, Sensitizing ",Poor
marshmallow,A flowering plant native to Africa that has soothing effects... ,"Skin-Soothing, Plant Extracts, Texture Enhancer ",N/A,Best
Mastocarpus stellatus,None,"Antioxidants, Texture Enhancer, Plant Extracts, Emollients ",N/A,Good
mate extract,None,"Skin-Soothing, Antioxidants, Plant Extracts ",N/A,Best
matricaria oil,None,"Antioxidants, Plant Extracts ",N/A,Best
MEA,Abbreviation for monoethanolamine. ,Thickeners/Emulsifiers ,N/A,Average
meadowfoam seed oil,"Non-fragrant, edible plant oil originally developed as an agricultural crop in the 1950s. It... ","Plant Extracts, Emollients ",N/A,Good
meadowsweet extract,Extract that can have skin-soothing properties... ,"Skin-Soothing, Plant Extracts ",N/A,Best
Medicago sativa,None,"Antioxidants, Plant Extracts ",N/A,Best
Melaleuca alternifolia,None,"Plant Extracts, Antioxidants ",N/A,Good
Melaleuca cajeputi oil,"There is no research showing that this oil, which is derived from a plant in the same family as the... ","Plant Extracts, Sensitizing ",N/A,Poor
Melia azadirachta extract,None,"Antioxidants, Plant Extracts ",N/A,Best
Melia azadirachta oil,None,Sensitizing ,N/A,Poor
melibiose,Saccharide that can have good water-binding properties. ,Skin-Replenishing ,N/A,Good
Melissa officinalis,None,"Plant Extracts, Sensitizing",Synthetic and Fragrant Plant Extracts ,Poor
Mentha arvensis,None,"Plant Extracts, Sensitizing ",N/A,Poor
Mentha piperita,None,Plant Extracts,"Synthetic and Fragrant Plant Extracts, Sensitizing ",Poor
Mentha spicata,None,"Plant Extracts, Sensitizing",Synthetic and Fragrant Plant Extracts ,Poor
Mentha viridis,None,Plant Extracts,"Synthetic and Fragrant Plant Extracts, Sensitizing ",Poor
menthol,Derived from peppermint; menthol can have the same sensitizing effect as peppermint on skin… ,Plant Extracts,"Synthetic and Fragrant Plant Extracts, Sensitizing ",Poor
menthone,Major constituent of peppermint. ,"Plant Extracts, Sensitizing",Synthetic and Fragrant Plant Extracts ,Poor
menthoxypropanediol,Synthetic derivative of menthol. It is known to produce effects that are twice as strong as... ,,"Synthetic and Fragrant Plant Extracts, Sensitizing ",Poor
menthyl anthranilate,"Also known as meradimate, this is a synthetic sunscreen active is a partially effective UVA... ",Sunscreen Actives ,N/A,Best
menthyl lactate,Used as a cooling agent and fragrance in cosmetics. It is a derivative of menthol and is supposed... ,,"Synthetic and Fragrant Plant Extracts, Sensitizing ",Poor
meradmiate,None,Sunscreen Actives ,N/A,Best
methanol,None,Sensitizing ,N/A,Poor
methicone,One of the simpler silicones due to its less complex molecular structure. ,"Silicones, Emollients, Slip Agents ",N/A,Good
methionine,None,"Antioxidants, Skin-Replenishing ",N/A,Good
methylchloroisothiazolinone,"In combination with methylisothiazolinone, it goes by the trade name Kathon CG (among others).... ","Preservatives, Sensitizing ",N/A,Poor
methyldibromo glutaronitrile,Formaldehyde-releasing preservative... ,Preservatives ,N/A,Poor
methyldihydrojasmonate,Synthetic fragrant component. ,,Synthetic and Fragrant Plant Extracts ,Poor
methyl gluceth-20,Liquid that functions as a water-binding and skin-conditioning agent. ,Skin-Softening ,N/A,Good
methyl gluceth-20 benzoate,A synthetic ester and emollient used to improve product spreadability. Methyl...,"Texture Enhancer, Emollients ",N/A,Good
methyl glucose sesquistearate,A mixure of the diesters of methyl glucoside and stearic acid. Functions as a skin-conditioning... ,"Emollients, Skin-Softening ",N/A,Good
methylglucoside phosphate,"A type of monosaccharide (simple sugar) derived from glucose, it serves as a skin-conditioning agent... ",Skin-Softening ,N/A,Good
methylisothiazolinone,Preservative that’s generally recommended for use only in rinse-off products such as cleansers or... ,"Preservatives, Sensitizing ",N/A,Poor
methylparaben,Parabens are a group of controversial preservatives that include butylparaben...,Preservatives ,N/A,Good
methylpropanediol,Glycol that functions as a solvent. Methylpropanediol can enhance ingredients such as salicylic acid. ,"Miscellaneous, Hydration ",N/A,Good
methylsilanol mannuronate,None,"Silicones, Emollients, Texture Enhancer ",N/A,Good
methylsilanol PEG-7 glyceryl cocoate,A glyceryl ester used as an emollient and texture enhancer in cosmetics. ,"Silicones, Emollients, Texture Enhancer ",N/A,Good
methylsufonylsulfate,None,Antioxidants ,N/A,Good
methyl trimethicone,None,"Silicones, Slip Agents, Emollients ",N/A,Good
Mexoryl SX,None,Uncategorized ,N/A,Best
mica,Earth mineral included in products to give them sparkle and shine. ,Coloring Agents/Pigments ,N/A,Good
microcrystalline wax,"Plastic-type, highly refined wax derived from petroleum. Used as a thickener and to give products a... ","Thickeners/Emulsifiers, Texture Enhancer ",N/A,Good
Microcystis aeruginosa,Latin name for spirulina. ,"Antioxidants, Texture Enhancer, Plant Extracts, Emollients ",N/A,Good
milk protein,None,"Emollients, Skin-Replenishing ",N/A,Good
milk vetch root,"Root with potential antioxidant properties, although there isn't conclusive research that it functions that way when applied topically. ","Antioxidants, Plant Extracts ",N/A,Good
millet seed extract,"Extract from a cereal grain that has no established benefit for skin, but is added to cosmetic... ","Plant Extracts, Skin-Softening ",N/A,Average
mimosa oil or extract,Extract used as a fragrance in cosmetics. ,Plant Extracts,Synthetic and Fragrant Plant Extracts ,Poor
mineral oil,"Clear, odorless oil derived from petroleum that is widely used in cosmetics because it rarely... ",Emollients ,N/A,Good
mint,Can be a skin sensitizer… ,"Plant Extracts, Sensitizing",Synthetic and Fragrant Plant Extracts ,Poor
mixed fruit extracts,None,Plant Extracts ,N/A,Good
montan wax,"A type of natural wax derived from lignite, which is a type of coal that’s made from wood. Most... ",Texture Enhancer ,N/A,Good
montmorillonite,"A type of clay that is a mix of bentonite and fuller's earth, with the latter being a white to brown substance found in sediment... ",Absorbent ,N/A,Good
Morinda citrifolia,None,"Skin-Soothing, Antioxidants, Plant Extracts ",N/A,Good
Morus alba root extract,Latin name for mulberry. ,"Antioxidants, Plant Extracts ",N/A,Good
Morus bombycis root extract,None,Plant Extracts ,N/A,Good
Morus nigra root extract,None,Plant Extracts ,N/A,Good
mucopolysaccharide,Also known as glycosaminoglycans. This is a large class of ingredients that includes hyaluronic... ,Skin-Replenishing ,N/A,Best
Mucor miehei extract,Extract of a type of mold whose enzymes are used as a food additive and flavor enhancer in cheeses.... ,Miscellaneous ,N/A,Average
mugwort extract,There is no research showing this extract has any benefit for skin (Sources:... ,Plant Extracts ,N/A,Average
mulberry extract,"Non-fragrant plant extract (Latin name is Morus alba) whose various parts such as the leaf and root, have shown potential to brighten and improve the look... ","Plant Extracts, Antioxidants ",N/A,Good
murumuru seed butter,None,"Emollients, Plant Extracts ",N/A,Good
myristic acid,Cleansing agent that also creates foam and can be drying. ,Cleansing Agents ,N/A,Good
myristoyl hexapeptide-16,"Myristoyl hexapeptide-16 is a synthetic, fatty acid-linked peptide known to improve skin’s resilience, visibly calm, and help skin look and feel smoother. ",Skin-Restoring ,N/A,Best
myristoyl pentapeptide-17,Myristoyl pentapeptide-17 is a synthetic peptide known to increase skin's hydration and resilience. ,Skin-Restoring ,N/A,Best
myristoyl tripeptide-31,A synthetic peptide made from combining the fatty acid myristic acid with tripeptide-31. This peptide is believed to have a retinol-like effect on skin’s appearance. ,Skin-Restoring ,N/A,Best
myristyl alcohol,"A lighter-weight fatty alcohol that functions as a thickener, emulsion stabilizer, and emollient. ","Emollients, Thickeners/Emulsifiers ",N/A,Good
myristyl myristate,Used in cosmetics as a texture enhancer and emollient. ,"Texture Enhancer, Emollients ",N/A,Good
myristyl nicotinate,"A derivative of nicotinic acid, a component of vitamin B3 (niacin) that isn’t the same ingredient... ",Miscellaneous ,N/A,Best
myrrh,Fragrant gum resin that can be a skin sensitizer. There is little research showing it has any benefit... ,"Plant Extracts, Sensitizing",Synthetic and Fragrant Plant Extracts ,Poor
myrtle extract,Contains volatile oil and tannins... ,"Plant Extracts, Sensitizing",Synthetic and Fragrant Plant Extracts ,Poor
Myrtus communis extract,None,Plant Extracts,"Synthetic and Fragrant Plant Extracts, Sensitizing ",Poor
N6-furfuryladenine,Technical name for kinetin. ,"Plant Extracts, Skin-Restoring ",N/A,Average
N-acetyl-L tyrosine,None,"Antioxidants, Skin-Replenishing ",N/A,Average
NaPCA,None,Skin-Replenishing ,N/A,Good
Narcissus poeticus wax,Fragrant flower extract that can cause sensitizing reactions… ,"Plant Extracts, Sensitizing",Synthetic and Fragrant Plant Extracts ,Poor
Nardostachys jatamansi,None,"Plant Extracts, Antioxidants ",N/A,Good
Nasturtium officinale extract,None,"Antioxidants, Plant Extracts ",N/A,Average
natto gum,Fermentation product of soy protein. It may be a potent antioxidant (Source: Journal of... ,"Antioxidants, Plant Extracts ",N/A,Good
natural moisturizing factor (NMF),One of the primary elements in keeping skin feeling and looking healthier… ,Skin-Replenishing ,N/A,Best
neem extract,Neem extract has antioxidant and skin-calming benefits and may also help reduce the population of harmful microbes on skin’s surface. ,"Plant Extracts, Antioxidants ",N/A,Best
neem oil,Neem oil contains a chemical known as nimbidin that gives it a sulfur-like odor. ,"Plant Extracts, Sensitizing ",N/A,Poor
neopentyl glycol dicaprylate/dicaprate,Used as an emollient and texture enhancer. ,"Texture Enhancer, Emollients ",N/A,Good
neopentyl glycol diheptanoate,Mixture of texture-enhancing ingredient neopentyl glycol and grape-derived fatty acid heptanoic acid... ,"Texture Enhancer, Skin-Softening ",N/A,Good
neroli,None,"Plant Extracts, Sensitizing",Synthetic and Fragrant Plant Extracts ,Poor
neroli oil,Fragrant plant oil that can be a skin sensitizer... ,Plant Extracts,"Synthetic and Fragrant Plant Extracts, Sensitizing ",Poor
nettle extract,Extract that may have soothing properties... ,"Skin-Soothing, Plant Extracts ",N/A,Average
niacin,None,"Skin-Restoring, Vitamins ",N/A,Best
niacinamide,"Also known as vitamin B3 and nicotinic acid, niacinamide is a very effective skin-restoring ingredient... ","Skin-Soothing, Skin-Restoring, Antioxidants, Vitamins ",N/A,Best
nicotinamide,None,"Skin-Restoring, Vitamins ",N/A,Best
nicotinic acid,None,"Skin-Restoring, Vitamins ",N/A,Best
noni juice,"Also known as morinda or Morinda citrifolia, comes from a small evergreen tree. The juice from this... ","Skin-Soothing, Plant Extracts, Antioxidants ",N/A,Good
nonoxynols,Used as a mild cleansing agent. ,Cleansing Agents ,N/A,Good
nylon-12,Powder substance that is used as an absorbent and texture enhancer... ,"Texture Enhancer, Absorbent ",N/A,Good
Nymphaea tetragona,Also known as pygmy waterlily. The stem has been shown to be an antioxidant... ,"Antioxidants, Plant Extracts ",N/A,Best
oak root extract,Extract that can be a skin sensitizer. ,"Plant Extracts, Sensitizing, Antioxidants ",N/A,Poor
oat beta-glucan,None,"Skin-Soothing, Antioxidants ",N/A,Best
oat bran extract,Oat bran extract is a portion of the oat plant that contains antioxidant and soothing properties... ,"Skin-Soothing, Antioxidants, Plant Extracts ",N/A,Best
oat kernel extract,None,"Skin-Soothing, Plant Extracts ",N/A,Best
oatmeal,Can have skin-soothing properties… ,"Skin-Soothing, Plant Extracts ",N/A,Best
octinoxate,Also known as octyl methoxycinnamate and ethylhexyl methoxycinnamate… ,Sunscreen Actives ,N/A,Best
octisalate,Technical name for the active sunscreen ingredient octyl salicylate (also known as ethylhexyl... ,Sunscreen Actives ,N/A,Best
octocrylene,Globally-approved sunscreen agent that protects skin from the UVB range of sunlight. ,Sunscreen Actives ,N/A,Best
octyldodecanol,"Opacifying agent, used primarily as a texture enhancer in moisturizers because of its lubricating and emollient properties. ","Texture Enhancer, Emollients ",N/A,Good
octyldodecyl myristate,Mixture of octyldodecanol (thickener) and myristic acid that forms a new compound used as a... ,"Texture Enhancer, Skin-Softening, Emollients ",N/A,Good
octyldodecyl neopentanoate,Skin-softening agent and emollient. ,"Emollients, Skin-Softening ",N/A,Good
octyl methoxycinnamate,Sunscreen agent used to protect skin primarily from the sun’s UVB rays… ,Sunscreen Actives ,N/A,Best
octyl palmitate,Used in cosmetics as a texture enhancer and emollient. ,"Texture Enhancer, Emollients ",N/A,Good
octyl salicylate,Sunscreen agent used to protect skin primarily from the sun’s UVB rays... ,Sunscreen Actives ,N/A,Best
octyl stearate,Used in cosmetics as a texture enhancer and emollient. ,"Texture Enhancer, Emollients ",N/A,Good
o-cymen-5-ol,Preservative used in cosmetics. ,Preservatives ,N/A,Good
Oenothera biennis oil,None,"Skin-Soothing, Emollients, Plant Extracts ",N/A,Best
Olea europaea fruit oil,None,"Antioxidants, Emollients, Plant Extracts, Skin-Replenishing ",N/A,Good
Olea europaea oil unsaponifiables,An unsaponifiable oil is the portion of a plant oil that is not broken down when the oil's fatty... ,"Antioxidants, Plant Extracts, Skin-Replenishing, Emollients ",N/A,Best
oleanolic acid,"A skin-soothing ingredient, especially when used in synthetic rather than natural form... ","Skin-Soothing, Antioxidants ",N/A,Best
oleic acid,Fatty acid used as a cleansing agent and texture enhancer. ,"Cleansing Agents, Texture Enhancer ",N/A,Good
oleth-10,A form of fatty alcohol that functions as a texture enhancer and cleansing agent. ,"Texture Enhancer, Cleansing Agents ",N/A,Good
oleths,Mild cleansing agents. ,Cleansing Agents ,N/A,Good
oleyl erucate,"Skin-softening agent derived from oleyl alcohol, which is obtained chiefly from fish oil. ",Skin-Softening ,N/A,Good
olibanum extract,None,,"Synthetic and Fragrant Plant Extracts, Sensitizing ",Poor
olive oil/olive fruit oil,Emollient plant oil similar to many other non-fragrant plant oils. The concept of olive oil having... ,"Antioxidants, Plant Extracts, Skin-Replenishing, Emollients ",N/A,Good
orange blossom,Fragrant extract that can also be a skin sensitizer. ,"Plant Extracts, Sensitizing",Synthetic and Fragrant Plant Extracts ,Poor
Orbignya martiana,None,"Plant Extracts, Emollients ",N/A,Good
Orbignya oleifera,None,"Plant Extracts, Emollients ",N/A,Good
orchid,Fragrant flower that can be a skin sensitizer. ,Plant Extracts,"Synthetic and Fragrant Plant Extracts, Sensitizing ",Poor
oregano,"Has beneficial properties, but can also be a skin sensitizer. ","Plant Extracts, Sensitizing",Synthetic and Fragrant Plant Extracts ,Poor
Origanum majorana,None,"Plant Extracts, Sensitizing",Synthetic and Fragrant Plant Extracts ,Poor
Origanum vulgare flower extract,None,"Plant Extracts, Sensitizing ",N/A,Poor
orris root,Used primarily as a fragrant component due to its violet-like scent (Source:... ,"Plant Extracts, Sensitizing",Synthetic and Fragrant Plant Extracts ,Poor
oryzanol,"Component of plants and their products, such as rice bran, that has potent antioxidant properties. ","Antioxidants, Plant Extracts ",N/A,Good
Oryza sativa cera,"A natural, non-fragrant wax obtained from rice bran. It functions as a skin-softening agent... ",Skin-Softening ,N/A,Best
Oryza sativa oil,None,"Plant Extracts, Emollients ",N/A,Good
oxidoreductase,Large group of enzymes that block oxygen in different forms from generating environmental damage. ,Antioxidants ,N/A,Best
oxybenzone,Oxybenzone (also known as benzophenone-3) is a sunscreen agent that protects primarily from the... ,Sunscreen Actives ,N/A,Best
ozokerite,"Mineral that is used as a texture enhancer in cosmetics, especially in lipsticks and stick... ",Texture Enhancer ,N/A,Good
P. elisabethae,The “P.” is short for the genus Pseudopterogorgia. ,"Skin-Soothing, Antioxidants ",N/A,Good
PABA,None,Sunscreen Actives ,N/A,Poor
padimate O,"Sunscreen agent that protects skin primarily from the sun’s UVB rays (Source: Skin Therapy Letter,... ",Sunscreen Actives ,N/A,Average
